measured,hybrid_predicted,ggmr_predicted,rc_model3_predicted,rc_model2_predicted,rc_model1_predicted
13691.7277,2356.770303,2356.770303,1.32E+04,1.21E+04,2.78E+02
13691.7277,14514.04706,14371.13722,3.01E+04,1.65E+04,7.37E-01
13520.5811,14380.54197,14278.47205,1.67E+04,1.61E+04,4.15E+03
13349.43451,14142.97016,14194.24038,1.61E+04,1.56E+04,5.19E+03
13463.53224,13885.01572,14108.33677,1.55E+04,1.51E+04,4.67E+03
13289.46006,13599.98089,14025.76068,1.50E+04,1.46E+04,5.19E+03
11376.12888,12471.19864,12044.57723,1.16E+04,1.14E+04,5.19E+03
2148.840597,326.9025439,1088.212426,2.50E+03,5.62E+03,5.70E+03
-3335.16444,-4335.463742,-4763.977575,-2.95E+03,1.03E+03,7.26E+03
-4388.374263,-4730.102468,-4897.82219,-3.88E+03,-1.43E+03,3.63E+03
-4739.444204,-4839.207616,-4770.536017,-4.18E+03,-2.71E+03,2.07E+03
-4660.453467,-4944.725702,-4769.440281,-4.36E+03,-3.38E+03,1.04E+03
-4874.021015,-4830.977108,-4728.032141,-4.43E+03,-3.72E+03,-1.56E+03
-5048.093194,-4698.520047,-4789.202776,-4.38E+03,-3.86E+03,-3.11E+03
-4874.021015,-4515.400607,-4851.865217,-4.29E+03,-3.89E+03,-1.04E+03
-4699.948836,-4284.844327,-4394.695902,-4.16E+03,-3.82E+03,-4.15E+03
-3554.583153,-3804.688003,-3905.977807,-3.28E+03,-3.07E+03,-4.67E+03
-1963.066087,-2729.795473,-2937.759367,2.41E+03,1.86E+03,-3.63E+03
14323.65359,15024.71476,11363.58518,1.27E+04,7.58E+03,-5.19E+03
13033.47156,14060.66639,13957.25085,1.36E+04,1.06E+04,-3.11E+03
13223.63445,14397.09736,14021.53741,1.38E+04,1.20E+04,-2.07E+03
13574.70439,14542.91347,14071.31178,1.39E+04,1.28E+04,-6.57E-01
13520.5811,14469.76075,14019.05881,1.39E+04,1.30E+04,2.59E+03
13520.5811,14214.7633,14026.53556,1.37E+04,1.31E+04,3.11E+03
13349.43451,14002.40874,13938.33256,1.35E+04,1.31E+04,2.07E+03
13349.43451,13788.99004,13850.14423,1.34E+04,1.30E+04,4.67E+03
13349.43451,13555.2699,13768.60208,1.33E+04,1.29E+04,5.18E+03
10900.72167,13306.64451,12710.38797,1.07E+04,1.05E+04,5.18E+03
4464.439417,2205.619985,2438.824164,2.64E+03,5.09E+03,6.22E+03
-3335.16444,-4285.943103,-4148.875663,-3.92E+03,3.39E+02,5.18E+03
-4563.909234,-4794.589643,-4896.876585,-4.80E+03,-2.20E+03,4.67E+03
-5048.093194,-5124.047523,-4833.768943,-5.18E+03,-3.56E+03,2.07E+03
-5222.165373,-5267.842582,-4829.153602,-5.38E+03,-4.24E+03,-1.35E+00
-5396.237552,-5102.431996,-4787.730601,-5.23E+03,-4.47E+03,-2.08E+03
-5396.237552,-4893.67016,-4828.104541,-4.96E+03,-4.47E+03,-1.56E+03
-5222.165373,-4711.249004,-4834.893323,-4.82E+03,-4.42E+03,-3.63E+03
-5090.514145,-4471.912257,-4944.901084,-4.58E+03,-4.24E+03,-3.63E+03
-4081.188065,-4013.719117,-4029.591696,-3.79E+03,-3.61E+03,-3.63E+03
-2720.792043,-2820.009271,-2935.72155,1.56E+03,1.25E+03,-5.71E+03
14025.24414,14689.44646,10750.25625,1.23E+04,7.14E+03,-4.15E+03
12755.54119,13899.16414,13842.04186,1.34E+04,1.02E+04,-4.15E+03
13058.33902,14209.01638,13922.29398,1.36E+04,1.18E+04,-2.59E+03
13405.02058,14438.30793,13926.79996,1.38E+04,1.26E+04,-5.21E+02
13349.43451,14347.74191,13845.22633,1.38E+04,1.30E+04,2.07E+03
13349.43451,14190.45844,13844.83661,1.37E+04,1.31E+04,1.03E+03
13178.28791,13858.412,13752.31436,1.35E+04,1.30E+04,4.66E+03
13178.28791,13521.35376,13664.60432,1.32E+04,1.29E+04,3.63E+03
13290.92285,13426.79003,13574.63237,1.32E+04,1.29E+04,4.66E+03
12521.49456,12973.33221,13490.12594,1.29E+04,1.26E+04,4.66E+03
11008.96823,11336.72386,11510.79513,9.23E+03,9.16E+03,6.22E+03
-339.3676097,-1340.17649,348.4264676,-1.89E+02,3.48E+03,6.22E+03
-4037.304322,-4598.729886,-5134.650668,-4.39E+03,-5.67E+02,4.15E+03
-4739.444204,-5015.417272,-4953.741648,-4.92E+03,-2.66E+03,3.11E+03
-5266.049116,-5192.306952,-4921.525999,-5.16E+03,-3.73E+03,1.55E+03
-5222.165373,-5206.270498,-4920.417482,-5.20E+03,-4.22E+03,-1.04E+03
-5222.165373,-5128.884181,-4929.058258,-5.13E+03,-4.46E+03,-5.22E+02
-5396.237552,-5019.687201,-4871.468103,-5.10E+03,-4.52E+03,-3.63E+03
-5266.049116,-4744.181426,-4873.734396,-4.83E+03,-4.43E+03,-2.60E+03
-4958.862917,-4525.11346,-4985.692108,-4.56E+03,-4.25E+03,-4.67E+03
-3463.890085,-3164.783769,-3802.435431,-2.09E+03,-1.88E+03,-5.19E+03
4177.732298,5986.478446,-2922.387163,6.14E+03,3.73E+03,-4.15E+03
12834.53193,15594.27837,10452.63383,1.31E+04,8.59E+03,-5.19E+03
12942.77849,13949.37698,13602.06871,1.36E+04,1.10E+04,-2.60E+03
13121.23905,14139.33956,13614.56876,1.37E+04,1.22E+04,-2.08E+03
13178.28791,14057.62799,13618.77845,1.36E+04,1.27E+04,5.14E+02
13349.43451,14087.6327,13624.34825,1.37E+04,1.30E+04,1.55E+03
13349.43451,13933.24427,13549.5147,1.37E+04,1.30E+04,2.59E+03
13178.28791,13468.26744,13465.2771,1.33E+04,1.30E+04,3.63E+03
13178.28791,13395.12438,13371.06427,1.33E+04,1.30E+04,3.63E+03
