measure,hybrid,ggmr,rc3,rc2,rc1
77407.996413,66827.92775890001,67265.73099599998,105330.0,100530.0,44368.737
56182.89289,61845.690465,55851.74638,63470.0,52580.0,-22830.657
21229.491898999997,22679.159164,23546.887745999997,19250.0,31569.0,27968.65
107698.01836700001,115275.050405,109212.79170999999,113690.0,100040.0,-8331.0
-20381.072877700004,-19625.495065,-18043.3765554,-19439.0,-5477.0,8258.0
144485.759818,151243.047569,136888.745262,145890.0,132210.0,13954.0
-28351.823317999995,-24524.683937,-27722.195385,-21020.0,-15088.0,-16646.0
91719.947686,95445.99883,93116.360666,93280.0,97731.0,27392.0
23929.804863999998,31196.625941000002,21997.868250000007,32690.0,24004.0,-37917.0
27959.79522400001,26689.876566,24908.14580199999,28920.0,40180.0,24794.75
-38281.251487999994,-29190.070584,-33425.37317600001,-27853.0,-29378.0,-50940.0
62924.898552,70908.686732,64558.329155999985,69240.0,70830.0,24250.21
-52382.560787,-47694.304896999995,-48001.785220000005,-43160.0,-40740.0,-40049.0
-13181.213498,-2873.8558099999973,-12176.205064000002,-2363.0,-9562.0,-37450.0
50478.0063551,48703.67064659999,47286.918815,51550.0,57468.0,36667.8
-33533.030535,-27868.604288,-28138.959521000004,-26809.0,-27927.0,-40060.0
80114.16054900001,78597.3384,80224.08991300002,76750.0,77221.0,30940.0
14192.0023825,24477.889667000003,20908.374224,16640.0,7450.0,-32319.3
48275.0424815,49201.82942819999,49166.822559980006,42080.0,51715.3,40270.0
83295.731891,88258.481663,83388.496174,83900.0,70850.0,-12090.0
5625.895802700006,4306.9314669999985,5638.249223400002,-1207.300000000003,11919.0,28329.0
142892.779972,142422.194661,134832.54622299998,140076.0,126060.0,16914.0
-49633.97570499999,-50948.661288999996,-49275.833291,-51000.0,-36880.0,-4870.0
131459.60220999998,139956.28412815,128558.05779923001,136411.0,125169.0,13270.0
-43352.749345000004,-40585.340578999996,-44729.409751,-37420.0,-28853.0,-13180.0
118736.242435,122686.80158500001,112023.656293,118350.0,115600.0,28812.7
-841.1050710000054,3943.7585100000033,-1622.157125999991,5082.0,-273.0,-31357.9
83883.77403199999,82214.434437,78724.82537800001,82270.0,89787.0,40701.0
20009.523843000003,25406.521294,16467.916840999995,27250.0,17980.0,-37584.0
60366.476359999986,60498.728675,56046.87026499999,59730.0,69640.0,39143.2
42276.134870199996,52549.487568000004,38597.53771634,51940.0,40790.0,-35020.0
20465.914768999995,20533.838658,17590.436678700004,20956.0,32838.0,28759.800000000003
1018.1028320000005,10105.375604999997,3194.8046440000016,13760.0,5106.0,-51100.0
46935.125532000005,48352.851583,45272.461035,47730.0,56575.0,30296.0
-49574.001255999996,-46682.37467500001,-47122.124133000005,-41180.0,-39020.0,-40760.0
12092.896682999995,11022.476681000002,1795.580836000001,22160.0,11820.0,-39730.0
28422.037301,22608.975308000005,24710.401601199992,28354.0,37752.0,37552.3
-46380.72758400001,-43008.22709200001,-45987.25792799999,-40570.0,-38860.0,-34550.0
-33467.204922000004,-36807.053330999996,-40655.440718,-29350.0,-28626.0,-38200.0
70655.75120669999,63709.789901,75447.26587600002,73100.0,70292.0,29200.0
-37851.190811,-39386.609541,-38283.438604999996,-40210.0,-37940.0,-24209.6
74877.367261,75106.42961100001,71628.032254,75840.0,62230.0,-13842.0
-18300.9834695,-20486.981115100003,-20058.4925732,-28120.0,-15029.0,20860.0
108695.642128,110366.958071,111210.60038,105490.0,96750.0,18798.4
-38965.837871,-39503.524386,-37381.935766,-43476.4,-34690.0,-2455.0
122611.1769113,124085.62388069999,118057.487321,114108.0,108590.0,36429.0
9129.281264999998,10754.456278,9504.552958,7522.0,1544.0,-19065.0
63508.5523309,62466.45635689999,62384.8545871,58304.0,66912.0,44187.0
59382.017745000005,65680.641175,59619.628852,62479.0,50753.0,-21146.0
19251.797898000004,15312.957589999998,14683.515328,14740.0,27060.0,33289.0
85080.3374203,87939.33112619999,83836.50054,91940.0,78880.0,-15990.0
-4783.3279550000025,-8767.901803999996,-7885.648670999997,-8860.0,4710.0,22877.199999999997
42887.581673,51843.27237399999,41709.343694,51900.0,39790.0,-39327.9
39961.998835000006,37831.193697,38236.9674086,38007.0,49386.0,38429.0
84288.96726399999,90747.66399500001,88449.928521,89844.0,77469.0,-14470.2
-18842.216294,-18345.374746,-17364.8906497,-19258.0,-5988.0,11960.2
75323.51863800001,84339.68812099998,83723.77723,83620.0,70920.0,-24350.0
-35115.77085,-35265.737702,-34814.648499,-33180.0,-20050.0,3128.6000000000004
2448.7128370000064,10732.548419,4092.3809770000007,13254.0,4612.0,-44570.0
27204.99484399999,25252.628346999998,26679.101941099994,27604.0,35912.0,28519.0
-34222.005294,-34127.007022,-37414.518251999994,-27540.0,-26320.0,-32670.0
-29473.784342,-30078.586904,-33077.343766,-26670.0,-25360.0,-31640.0
16219.431273600001,32048.099549999995,29556.911881,27481.0,16663.0,-22322.0
11883.717509399998,7364.632683000001,10105.898533999998,5902.0,15937.900000000001,31617.0
-38225.665414,-33372.22437,-32386.531669,-39380.0,-37820.0,-32690.0
44366.463791,51365.318461999996,53898.667151,46309.0,36644.0,-20770.0
-27166.962269000003,-26131.269929000002,-21828.110237,-37685.0,-27645.0,3598.0
72722.675493,77445.96316500001,71112.78160599999,66960.0,62700.0,14976.0
32762.139457100002,36193.461639,36899.990761999994,24910.0,19050.0,-7809.0
4138.236931200001,2550.2643059999996,7859.451248999998,-7960.0,1060.0,20703.0
84517.16273099999,84406.74956,89072.21532599999,78158.0,70080.0,7703.0
-13216.320485999997,-8892.966662000004,-12332.147297000003,-19408.0,-19523.0,-14065.6
48661.219413,46933.56233100001,50248.155893,42100.0,48394.0,24799.1
41636.89501199999,45360.023803000004,45961.063773999995,38190.0,30780.0,-14617.0
-5478.1538709999995,-6933.709495000001,841.7641780000049,-15070.0,-6049.0,10808.3
79833.3045925,84192.965304,86529.65506900001,78910.0,68280.0,-3210.0
712.3794287000037,461.1780753000021,1759.9807612999994,-6563.0,-4217.0,-2680.0
50900.753075,48060.016802000006,59693.51229700001,44640.0,50392.0,23733.0
6218.326329000005,11685.147795999997,8100.072778999999,4750.0,-1680.0,-31752.8
10372.653967000002,10515.138735999997,9971.156461999997,5230.0,13715.0,14912.0
61672.749099,65404.971224,61330.538133,59360.0,51180.0,-8952.0
-43636.53088,-43645.800537999996,-43591.915785000005,-48520.0,-39628.0,-12053.0
57192.218976000004,57195.849585,55202.940818,57100.0,53226.0,6092.0
-40637.808466,-40425.346073,-39926.116205,-45010.0,-40580.0,-21412.0
55899.11136400002,56808.596928000006,54200.423905,53800.0,51560.0,17994.0
-41072.257519,-38677.473387000005,-39196.315451999995,-47050.0,-44460.0,-28151.0
55120.90632100001,57896.178975,50144.19482800001,55820.0,51981.0,8130.0
-41278.51111,-38272.141163,-38025.015206,-48010.0,-44190.0,-18295.4
73462.847945,74012.47122400001,69159.362456,70570.0,60890.0,-1196.7999999999993
-35820.836318,-38782.78911499999,-37398.978859999996,-48030.0,-38440.0,-670.0
71068.25839900001,71821.51967100002,68585.544491,69760.0,65748.0,17460.0
-2415.068634000003,-654.7448190000014,2284.1527849999984,-9210.0,-14610.0,-19354.7
77473.822032,70614.37245687,85825.82421040001,80500.0,81140.0,38182.3
64661.231975,39431.804573199996,59289.456834900004,58720.0,57860.0,29900.0
-15316.8889682,-17955.972838,-21973.688388300005,-20417.0,-19873.0,-19365.3
49045.933555,49039.72097099999,57990.747854,46350.0,51845.0,24180.0
21498.645521000002,25714.057590300003,22914.4932539,22580.0,16060.0,-25082.4
