measure,hybrid,hybrid1,ggmr,ggmr2,ggmr1,rc3,rc2,rc1
111654.869161,104526.92681489998,103804.3201552,105669.28312200001,107179.018984,104523.181731,136070.0,115570.0,44368.737
106210.35948999999,111574.14159500001,110388.9022248,107066.81280000001,99604.843953,101994.04439478001,104550.0,89300.0,34230.657
89597.437335,91038.70718599999,87936.725839,89865.694262,93597.63204100002,89618.29132499998,87830.0,78289.0,42511.35
131483.006873,137886.331695,136014.92592100002,133033.22037,131189.854672,133164.6912146,130430.0,115740.0,40431.0
67441.9984577,68245.607205,69478.476237,68742.07163060001,70281.17519719999,69303.65713699999,63699.0,55957.0,43562.0
144485.759818,151243.047569,152838.974206,142733.519588,152969.113927,156526.334073,145890.0,132210.0,41994.0
69011.573664,71129.565361,72679.997813,61681.207324999996,63504.354367,70884.411769,65640.0,47728.0,42534.0
118752.333148,124541.602372,121384.45757000001,122165.67522600002,128298.494125,124398.853998,121080.0,109491.0,36768.0
95410.57044000001,98426.43503699999,99699.200338,88937.53184800001,87235.48080800001,99064.28278500002,94810.0,78776.0,37917.0
91877.92915600003,92319.106994,93250.055413,94604.800378,88213.70031700001,97940.80165000001,88800.0,79420.0,34185.25
53125.658828,55514.046424,52994.784616000004,51760.135056,64823.46758599999,60740.919276,48253.0,41278.0,50940.0
103496.881406,112516.934962,113303.41087600001,104573.245234,92759.26945899999,108101.19952,108360.0,92670.0,34689.79
52382.560787,47694.304896999995,45277.314257,48001.785220000005,46993.48153299999,45058.575385000004,43160.0,40740.0,40049.0
51956.888481999995,62372.17375,57766.90840099999,57330.051464,54319.253841,50378.623736,51977.0,43198.0,37450.0
94513.8792891,96783.87548659998,98874.8468159,92781.71139699998,79450.6080222,95585.8883368,97670.0,86588.0,41892.2
44196.779995000004,43495.166846,41041.638887999994,46987.127493,48599.231141000004,40914.957058,42489.0,38227.0,40060.0
113691.07482499999,116770.40913200002,116666.55441999999,113238.971309,95194.432744,103212.35299300001,113850.0,97579.0,44480.0
74576.03223750001,80902.111287,78394.35488599999,75525.55573,72264.10478000001,67361.44328699999,78320.0,64990.0,33329.3
96081.99169950001,96200.57974019999,99314.1212049,92591.07848002,90837.7681613,90684.409926,96980.0,87175.3,46550.0
119242.36826900001,122689.409517,121219.281991,116912.202966,104219.75786400001,105454.81004879999,116620.0,101610.0,35830.0
74406.34841729999,75511.219253,76734.5019499,72707.4369766,69265.6131709,66219.4361683,75127.3,67561.0,46097.0
149059.90860199998,148355.551365,149763.04237900002,141020.845307,135359.327726,143340.312084,141684.0,127300.0,46094.0
49633.97570499999,50948.661288999996,50466.203990999995,49275.833291,49970.960152,46766.607467,51000.0,41460.0,39970.0
141465.09553,145680.28584815003,144081.04366379997,134662.65368077002,122941.4925699,129308.68960960001,136411.0,125169.0,47650.0
51310.334675000006,52321.47205299999,52567.81595899999,51294.486124999996,52542.07096300001,56696.983443000005,50540.0,37527.0,40020.0
133481.17995700001,140191.46310300002,140132.603499,129832.26385100001,129386.601214,124215.72358,134810.0,119580.0,44507.3
78998.05069100001,80628.44415,79499.83791,77587.475266,66488.87816169999,73708.77871299999,74082.0,59127.0,34437.9
119801.15458199999,120455.99065100001,120693.94388700002,115877.93722999998,117176.88438999999,115676.191887,118810.0,107887.0,43899.0
92040.298997,93416.57652599999,91734.5151972,86351.401639,80100.55052700001,80401.62864841,88270.0,73620.0,40616.0
106186.954832,108916.28275500001,108381.98291400001,105117.35605900001,106072.931159,104101.73276499998,106130.0,96700.0,42348.8
97906.09261020001,104284.06846400001,105528.846356,92295.11440834,93079.30901,99902.66236600002,101580.0,86370.0,41200.0
85814.65871099998,86052.11296199998,87086.65514090001,84084.35324130002,84075.8083185,82894.54807004001,82276.0,74922.0,42388.2
70936.607168,75846.116455,71678.929037,71658.51238,75831.687857,76812.232219,65480.0,54206.0,51100.0
96637.85243400001,99254.852283,101199.95395200001,93536.412817,93811.535293,97635.014914,97910.0,87935.0,35624.0
49574.001255999996,46682.37467500001,45435.80315799999,47122.124133000005,49546.26852100001,47908.82953999999,41180.0,39020.0,40760.0
73974.824957,78815.670139,72193.2748611,73653.649484,65132.5777297,65494.5094278,70440.0,57900.0,39730.0
