hybrid_predicted,measured
66828,77408
61846,56183
22679,21229
1.15E+05,1.08E+05
-19625,-20381
1.51E+05,1.44E+05
-24525,-28352
95446,91720
31197,23930
26690,27960
-29190,-38281
70909,62925
-47694,-52383
-2873.9,-13181
48704,50478
-27869,-33533
78597,80114
24478,14192
49202,48275
88258,83296
4306.9,5625.9
1.42E+05,1.43E+05
-50949,-49634
1.40E+05,1.31E+05
-40585,-43353
1.23E+05,1.19E+05
3943.8,-841.11
82214,83884
25407,20010
60499,60366
52549,42276
20534,20466
10105,1018.1
48353,46935
-46682,-49574
11022,12093
22609,28422
-43008,-46381
-36807,-33467
63710,70656
-39387,-37851
75106,74877
-20487,-18301
1.10E+05,1.09E+05
-39504,-38966
1.24E+05,1.23E+05
10754,9129.3
62466,63509
65681,59382
15313,19252
87939,85080
-8767.9,-4783.3
51843,42888
37831,39962
90748,84289
-18345,-18842
84340,75324
-35266,-35116
10733,2448.7
25253,27205
-34127,-34222
-30079,-29474
32048,16219
7364.6,11884
-33372,-38226
51365,44366
-26131,-27167
77446,72723
36193,32762
2550.3,4138.2
84407,84517
-8893,-13216
46934,48661
45360,41637
-6933.7,-5478.2
84193,79833
461.18,712.38
48060,50901
11685,6218.3
10515,10373
65405,61673
-43646,-43637
57196,57192
-40425,-40638
56809,55899
-38677,-41072
57896,55121
-38272,-41279
74012,73463
-38783,-35821
71822,71068
-654.74,-2415.1
70614,77474
39432,64661
-17956,-15317
49040,49046
25714,21499
9825,9262.4
54442,50757
-27135,-27436
75723,72755
-15717,-13743
37122,36760
31242,27136
-9721,-8482.7
66880,61823
-40162,-38488
57029,60887
10719,10153
11404,14246
48446,48069
-17748,-16010
59603,58687
-25020,-26541
77203,74329
23734,19863
21261,23574
58264,51246
-21086,-19868
81531,65040
30747,30745
58801,67198
43267,40391
55731,59585
17412,7861
38607,36039
50132,41011
1060.3,1120.5
86506,81242
-16445,-15678
1.06E+05,1.01E+05
-43827,-45968
98666,95551
-43237,-45234
99815,93993
-42470,-42943
91109,88677
-1410,-8013.2
60553,60981
47874,36596
9981.3,11754
1.02E+05,98971
-34565,-34714
1.20E+05,1.09E+05
-43374,-44200
1.13E+05,1.08E+05
-23669,-29345
45213,43874
17864,7966.4
1.09E+05,1.16E+05
52944,51288
29918,31735
62549,58535
27918,31020
-17936,-21449
84189,85297
-46929,-50790
-24665,-30978
75410,81238
-41958,-41633
69683,68703
-2824,757.73
1.44E+05,1.38E+05
-29038,-25929
91178,78606
-16270,-15634
1.22E+05,1.20E+05
-42073,-44589
1.15E+05,1.14E+05
-3925.8,-7981
84403,86511
34275,31541
40971,44598
81878,73709
4312.6,5254.3
1.03E+05,98809
