# measured, modeled
8.215036620335980842e+03,1.202709795666923043e-01
7.466087412784004300e+03,3.111475858430083008e+03
7.872743427821992555e+03,1.037622065293842070e+03
6.845863850279996768e+03,4.667497802253319605e+03
7.144273300163993554e+03,2.075142847817598977e+03
4.863781474824986617e+03,5.186423937524906250e+03
-2.808559528320000936e+03,3.630962004410748705e+03
-3.335164439880015834e+03,2.594012439763297607e+03
-3.686234380920014701e+03,1.557063177470640085e+03
-3.829587940177986184e+03,1.038626338365615766e+03
-3.829587940178008466e+03,1.661133976117782574e+00
-4.003660119277002195e+03,-2.072349811139744361e+03
-3.829587940177997552e+03,-1.553768995628900484e+03
-4.003660119276991281e+03,-3.109277592787254434e+03
-4.003660119277013564e+03,-4.146273645881093216e+03
-3.686234380919981049e+03,-3.109193070637270466e+03
-3.498997079032021702e+03,-3.627667941368179072e+03
-2.918268884894997427e+03,-3.109100292985681335e+03
5.757547033056000146e+03,-4.146087105094700746e+03
1.406035113865200401e+04,-3.108863729602821422e+03
1.015762362742399455e+04,-4.145677505255229335e+03
8.411050670750002610e+03,1.039750583327075447e+03
8.386183216592997269e+03,2.595557554022977001e+03
8.043890024078998067e+03,1.040247663233731373e+03
7.359303639051000573e+03,4.151618979459909497e+03
7.530450235307994262e+03,1.559280244208533077e+03
7.422203670154000974e+03,4.670652104252346362e+03
6.307556607351994899e+03,3.633864760119020048e+03
2.862682810896984392e+03,3.634026975116838912e+03
-3.159629469359999803e+03,3.634108355059551286e+03
-3.861769351440019818e+03,2.597147836465846467e+03
-3.829587940178008466e+03,1.560193269623930973e+03
-4.003660119277002195e+03,-5.138048500179737630e+02
-4.003660119277024478e+03,-1.032250329122272205e+03
-4.177732298376006838e+03,-2.069221655687681505e+03
-4.003660119277002195e+03,-1.550638306487110412e+03
-3.765225117654008045e+03,-3.106135382721221049e+03
-2.799782779793992631e+03,-4.143115584913455677e+03
-1.509600746472002356e+03,-3.624528487510992363e+03
1.627794293288799963e+04,-4.142893580471905807e+03
9.993790988271988681e+03,-1.550058353138400662e+03
9.252155737825003598e+03,-1.031284485768774857e+03
7.635771217619987510e+03,1.043036271640709401e+03
7.975138827291996677e+03,3.117358260071476707e+03
7.872743427821992555e+03,2.599094772261243634e+03
7.359303639050989659e+03,2.599351325672198527e+03
7.249594282475995897e+03,4.155168352714023968e+03
6.541603234712000813e+03,3.118385159143387682e+03
1.913331178668003304e+03,4.155598668874965369e+03
-2.984094498840006054e+03,2.081613156927113323e+03
-3.861769351439997081e+03,2.600214891889356295e+03
-3.861769351440008450e+03,1.563255542096602085e+03
-3.829587940177997552e+03,-5.107429950750631633e+02
-3.829587940177997552e+03,-1.547699016634849386e+03
-4.003660119277002195e+03,-1.029096618394773714e+03
-4.003660119277002195e+03,-2.066055353693744109e+03
-4.037304321959990830e+03,-3.621540733274302056e+03
-3.437559839350000857e+03,-4.139991525849528443e+03
-3.139150389466005890e+03,-2.584365128365809142e+03
1.566064495322599578e+04,-4.658325864956805162e+03
1.087877979797699481e+04,-1.546966849751727523e+03
9.004943987676000688e+03,-2.583747941122093835e+03
7.872743427822004378e+03,5.276287564126497500e+02
8.043890024078998067e+03,2.601970728279482955e+03
7.701596831564998865e+03,2.602240212923521540e+03
7.188157042793995060e+03,3.121028322582156761e+03
7.359303639051000573e+03,2.602778355600993564e+03
6.560619523185003345e+03,3.640086277613827860e+03
5.002746659819999877e+03,3.640325746231042558e+03
-2.281954616760008776e+03,4.677492110101929029e+03
-3.510699410399998669e+03,1.566479466938862060e+03
-3.686234380920003332e+03,2.603615241401721505e+03
-4.037304321960002198e+03,1.111190836703637075e+01
-4.177732298376006838e+03,-1.025841761007869763e+03
-4.177732298375985010e+03,-5.072379375752026363e+02
-4.003660119277002195e+03,-3.099744205700966631e+03
-4.037304321960013567e+03,-3.618176056263542705e+03
-3.768150700496001718e+03,-2.062530718393195002e+03
-3.229843457568007580e+03,-4.655044641576869253e+03
8.109715638024008513e+03,-3.099402590023771154e+03
1.323387398578699867e+04,-4.654739236049816100e+03
8.925953250942011437e+03,-5.063300788850841059e+02
8.653874046635994091e+03,1.245413841531893695e+01
7.872743427822004378e+03,1.049765033967253430e+03
7.359303639051000573e+03,2.087079872479777350e+03
7.530450235307994262e+03,3.124396791204650526e+03
6.845863850280007682e+03,4.161715119159390269e+03
6.904375507120008479e+03,1.569395318926076243e+03
6.845863850279996768e+03,3.643742594916522194e+03
5.912602923682001347e+03,4.162490963960692170e+03
6.611817222920008135e+03,4.162619483011114426e+03
6.617668388603990934e+03,3.125816478357576216e+03
6.278300778931992681e+03,4.163135696408714466e+03
6.161277465252010188e+03,2.607859724736629687e+03
2.959227044683017084e+03,4.682220049025897424e+03
-2.808559528320012305e+03,2.608346337076739019e+03
-3.686234380919992418e+03,3.126963492307128035e+03
-3.861769351439997081e+03,1.052988692332715118e+03
-4.037304321960002198e+03,5.345767643905874138e+02
-4.003660119276991281e+03,-5.023574266746533681e+02
-4.177732298376018662e+03,-1.020779741572673288e+03
-4.177732298376006838e+03,-3.094769508402395786e+03
-4.142625304272018184e+03,-3.094689740403930045e+03
-4.177732298375995924e+03,-3.094611138873502114e+03
-4.177732298375995924e+03,-4.131570925251017798e+03
-4.142625304271996356e+03,-4.650006789772582124e+03
-4.177732298376006838e+03,-3.612878746254389171e+03
-4.003660119276979913e+03,-4.649831042266071563e+03
-3.829587940178008466e+03,-4.649749447468287144e+03
-2.962152627524985746e+03,-3.612629098614911072e+03
-1.228744793639995578e+03,-4.649593567395760147e+03
1.643446161493500404e+04,-3.612436989832383915e+03
1.048528890572799355e+04,-3.093657473287792527e+03
8.411050670749991696e+03,-1.537846721446185938e+03
8.386183216592997269e+03,1.573534158591279720e+03
8.043890024079008981e+03,2.092328658220362286e+03
7.359303639051000573e+03,3.129644445141069809e+03
7.594813057831995138e+03,2.611402440982971711e+03
5.371370097911999437e+03,4.167231120182561426e+03
-2.457489587279991156e+03,3.648871147048595049e+03
-3.335164439880004920e+03,4.686012912171668177e+03
-3.686234380919992418e+03,5.379612878959289901e+02
-3.829587940178008466e+03,5.380613895183680597e+02
-4.003660119277024478e+03,-4.988826687605779853e+02
-4.003660119276991281e+03,-2.054353854250729910e+03
-4.003660119276991281e+03,-1.535752841953233883e+03
-3.829587940178008466e+03,-3.609754144541027927e+03
-3.829587940177997552e+03,-2.054121467845408006e+03
-3.829587940178008466e+03,-4.128124251860551340e+03
-3.686234380919981049e+03,-1.535442506457932495e+03
-3.194736463464004828e+03,-4.646475813263959935e+03
-2.223442959920003432e+03,-2.572319676021408213e+03
-3.829587940177993460e+03,-3.609281551693548408e+03
1.719072477959200114e+04,-2.572064415229929637e+03
1.045895866014999774e+04,-3.608857304475846831e+03
9.338460431663997952e+03,2.103208565465186197e+01
8.314506436963994929e+03,3.132417297751836486e+03
7.872743427821981641e+03,2.095652784996917035e+03
8.112641220866009462e+03,3.132965870061285386e+03
5.580549271115005467e+03,3.133232449423007438e+03
-2.106419646240015027e+03,4.688960552082607137e+03
-3.159629469360022085e+03,3.133501469860963880e+03
-3.510699410399998669e+03,2.096552122747667909e+03
-3.686234380919992418e+03,1.059605227860364039e+03
-3.655515761078992455e+03,5.411813377303278685e+02
-3.829587940178008466e+03,-1.532806125102870283e+03
-3.655515761078992455e+03,-4.956821913195668685e+02
-3.655515761078992455e+03,-1.532639337235278617e+03
-3.655515761079003369e+03,-3.606642866754521037e+03
-3.655515761078981541e+03,-2.569534480512919345e+03
-3.655515761078992455e+03,-3.087981445973642622e+03
-3.686234380919992418e+03,-4.124940827093304506e+03
-3.501922661874014011e+03,-2.569331554462212353e+03
-2.922657259157986118e+03,-2.569286182218022532e+03
-2.211740628551998725e+03,-2.569208415556312957e+03
-3.027978241469998920e+03,-3.606171036858669140e+03
-3.605780852764998599e+03,-2.569051170874054606e+03
-6.167128630936002082e+03,-3.087490737190619257e+03
1.760615754315599406e+04,-1.531778658244523058e+03
1.179887560178599779e+04,-1.531529159763847701e+03
9.752430403806991308e+03,-1.012760200379062098e+03
8.823557851471998219e+03,2.617131761420135263e+03
8.899623005363988341e+03,3.654437063494385256e+03
7.536301400992003437e+03,4.173225777690360701e+03
1.208265713746012352e+03,4.691981487129522975e+03
-2.457489587280002524e+03,4.173576919064638787e+03
-2.984094498840006054e+03,3.136612963802231207e+03
-3.159629469359988434e+03,2.618186537183499695e+03
-3.335164439880004920e+03,1.062725585016467676e+03
-3.481443581979998726e+03,5.442986585793651102e+02
-3.481443581979998726e+03,2.587272697975179625e+01
-3.481443581979998726e+03,-2.048118390719596846e+03
-3.481443581979998726e+03,-2.566559988518812588e+03
-3.481443581979998726e+03,-1.010926652588012303e+03
-3.307371402881004997e+03,-2.047892098572227724e+03
-3.481443581979998726e+03,-2.566344209749411675e+03
-3.481443581979998726e+03,-3.084798001771285726e+03
-3.307371402881004997e+03,-1.529165782338455756e+03
-3.307371402881015911e+03,-4.121688233229323487e+03
-3.481443581979998726e+03,-2.566059832735467808e+03
-3.510699410399998669e+03,-2.565989693534281287e+03
-3.335164439879998554e+03,-3.084442104002795077e+03
-2.567198943855005837e+03,-3.084377452275120959e+03
-2.567198943854999925e+03,-3.602834109501520288e+03
4.037304321960002653e+03,-3.602761556580479464e+03
1.580838688674699733e+04,-2.047004548519279069e+03
1.130445210148799561e+04,-1.528238188671741455e+03
1.009326080489998458e+04,5.460926441135399045e+02
8.899623005364001074e+03,1.583389162129855549e+03
8.975688159256002109e+03,4.694768484082685063e+03
6.357291515665991028e+03,4.176505952249975053e+03
-1.930884675719987399e+03,5.732229399808837115e+03
-2.808559528319990022e+03,3.139736599089144420e+03
-3.159629469360022085e+03,3.658349745849203373e+03
-3.335164439880004920e+03,1.584361069808588809e+03
-3.481443581980009640e+03,5.474030844920295067e+02
-3.481443581979998726e+03,-1.008081973210651313e+03
-3.481443581979998726e+03,-2.045053030439461281e+03
-3.481443581979998726e+03,-2.044976771064187233e+03
-3.481443581979998726e+03,-1.526378021620449317e+03
-3.655515761078981541e+03,-2.563341450091150818e+03
-3.655515761079003369e+03,-3.081790538846148593e+03
-3.510699410399998669e+03,-2.044683488085601766e+03
-3.168406217885994010e+03,-4.637216879403448729e+03
-2.548182655382003304e+03,-2.563077890244178434e+03
-2.365333727757009456e+03,-2.563006394825077678e+03
1.814153920324200590e+04,-3.599900717973858264e+03
1.234010842755600424e+04,-2.562621977095950115e+03
9.838735097646002032e+03,3.022288402216521774e+01
9.332609265980014243e+03,2.104557580824129218e+03
9.413062794134981232e+03,3.660328289817374298e+03
8.215036620336013584e+03,4.179109884525794769e+03
7.493880449783008771e+03,4.179378575418717446e+03
-5.266049115600037567e+02,3.661050409217929882e+03
-2.808559528320012305e+03,5.216722270817830577e+03
-3.510699410399998669e+03,2.105708049884977299e+03
-3.686234380919992418e+03,2.624316713282471937e+03
-3.829587940177986184e+03,5.503220847582714441e+02
-3.655515761079003369e+03,-1.005161794706977162e+03
-3.481443581979998726e+03,-1.005091329271321683e+03
-3.655515761078992455e+03,-3.597619692796331492e+03
-3.655515761079014737e+03,-1.523465859117574382e+03
-3.686234380920003332e+03,-3.078944369493196518e+03
-3.218141126199997871e+03,-2.041828250011718183e+03
-2.927045633420999366e+03,-4.115832856114907372e+03
1.413056512685999769e+04,-2.041651719225334546e+03
1.347669736167299561e+04,-3.596977200456861738e+03
1.050576798562200020e+04,-1.004132561223544144e+03
8.993241656307993253e+03,1.588725774144678780e+03
8.899623005364001074e+03,3.144554952886283445e+03
8.728476409107006475e+03,3.144826309656630656e+03
8.457859996221997790e+03,4.182135201717714153e+03
7.934180667503982477e+03,4.182404599090182273e+03
