# measured, modeled
8.215036620335980842e+03,8.897633520752042386e+02
7.466087412784004300e+03,2.970884197840060210e+02
7.872743427821992555e+03,1.334009645498044165e+03
6.845863850279996768e+03,5.932221314110198591e+02
7.144273300163993554e+03,1.482008487975714615e+03
4.863781474824986617e+03,1.037578044235925745e+03
-2.808559528320000936e+03,7.413076500939439484e+02
-3.335164439880015834e+03,4.450168222740854844e+02
-3.686234380920014701e+03,2.968495745050952337e+02
-3.829587940177986184e+03,5.258911909179388999e-01
-3.829587940178008466e+03,-5.921122477369121953e+02
-4.003660119277002195e+03,-4.440528595730894494e+02
-3.829587940177997552e+03,-8.885732498696826269e+02
-4.003660119276991281e+03,-1.184972384428480837e+03
-4.003660119277013564e+03,-8.887994206104990553e+02
-3.686234380919981049e+03,-1.037048065762220403e+03
-3.498997079032021702e+03,-8.890127360480468042e+02
-2.918268884894997427e+03,-1.185413137209366823e+03
5.757547033056000146e+03,-8.892460649309391556e+02
1.406035113865200401e+04,-1.185733986623453347e+03
1.015762362742399455e+04,2.955079683070591727e+02
8.411050670750002610e+03,7.398225452461039140e+02
8.386183216592997269e+03,2.952791123545182472e+02
8.043890024078998067e+03,1.184036049703086746e+03
7.359303639051000573e+03,4.432273585608918438e+02
7.530450235307994262e+03,1.331991212984001550e+03
7.422203670154000974e+03,1.035638859405280755e+03
6.307556607351994899e+03,1.035565272685835453e+03
2.862682810896984392e+03,1.035547563729085823e+03
-3.159629469359999803e+03,7.392851127917263057e+02
-3.861769351440019818e+03,4.430013210519829272e+02
-3.829587940178008466e+03,-1.496069768582916879e+02
-4.003660119277002195e+03,-2.978154640301499967e+02
-4.003660119277024478e+03,-5.941823604198843896e+02
-4.177732298376006838e+03,-4.461245118493804966e+02
-4.003660119277002195e+03,-8.906464644499483256e+02
-3.765225117654008045e+03,-1.187052895814620570e+03
-2.799782779793992631e+03,-1.039038152667174018e+03
-1.509600746472002356e+03,-1.187314945234543757e+03
1.627794293288799963e+04,-4.467691581556890696e+02
9.993790988271988681e+03,-2.988117958153493419e+02
9.252155737825003598e+03,2.935940230684902303e+02
7.635771217619987510e+03,8.860542353482937870e+02
7.975138827291996677e+03,7.378216352471279151e+02
7.872743427821992555e+03,7.377203242895596986e+02
7.359303639050989659e+03,1.182062556507310546e+03
7.249594282475995897e+03,8.856975144144357728e+02
6.541603234712000813e+03,1.181905457943078545e+03
1.913331178668003304e+03,5.892983076527273170e+02
-2.984094498840006054e+03,7.374391119996471389e+02
-3.861769351439997081e+03,4.411511798274907505e+02
-3.861769351440008450e+03,-1.514540196601575417e+02
-3.829587940177997552e+03,-4.478103561984910357e+02
-3.829587940177997552e+03,-2.997500374028906549e+02
-4.003660119277002195e+03,-5.961237496477195918e+02
-4.003660119277002195e+03,-1.040666535195639653e+03
-4.037304321959990830e+03,-1.188944422211915253e+03
-3.437559839350000857e+03,-7.446402349558915148e+02
-3.139150389466005890e+03,-1.337338466556072262e+03
1.566064495322599578e+04,-4.486311717507572894e+02
1.087877979797699481e+04,-7.451215801849351692e+02
9.004943987676000688e+03,1.435435604222423365e+02
7.872743427822004378e+03,7.359796218137164487e+02
8.043890024078998067e+03,7.358702886493583719e+02
7.701596831564998865e+03,8.839079953944609542e+02
7.188157042793995060e+03,7.356615394295391752e+02
7.359303639051000573e+03,1.031847982991585695e+03
6.560619523185003345e+03,1.031761092225661741e+03
5.002746659819999877e+03,1.327990515218643850e+03
-2.281954616760008776e+03,4.391293745154966359e+02
-3.510699410399998669e+03,7.353998247064655516e+02
-3.686234380920003332e+03,-5.342410265117756296e+00
-4.037304321960002198e+03,-3.016952817973505034e+02
-4.177732298376006838e+03,-1.536242113103706970e+02
-4.177732298375985010e+03,-8.944310652326029185e+02
