Date,Simple Date,Outdoor Temperature (°F),Feels Like (°F),Dew Point (°F),Wind Speed (mph),Wind Gust (mph),Max Daily Gust (mph),Wind Direction (°),Hourly Rain (in/hr),Event Rain (in),Daily Rain (in),Weekly Rain (in),Monthly Rain (in),Total Rain (in),Relative Pressure (inHg),Outdoor Humidity (%),Ultra-Violet Radiation Index,Solar Radiation (W/m^2),Absolute Pressure (inHg),CO2 battery
2022-03-08T23:55:00-05:00,2022-03-08 23:55:00,30.7,30.7,27,0,0,8.1,283,0,0,0,1.24,1.24,8.16,29.68,86,0,0,29.35,1
2022-03-08T23:50:00-05:00,2022-03-08 23:50:00,30.6,30.6,26.9,0,0,8.1,283,0,0,0,1.24,1.24,8.16,29.68,86,0,0,29.35,1
2022-03-08T23:45:00-05:00,2022-03-08 23:45:00,30.6,30.6,26.9,0,0,8.1,283,0,0,0,1.24,1.24,8.16,29.68,86,0,0,29.36,1
2022-03-08T23:40:00-05:00,2022-03-08 23:40:00,30.6,30.6,26.6,0,0,8.1,283,0,0,0,1.24,1.24,8.16,29.68,85,0,0,29.36,1
2022-03-08T23:35:00-05:00,2022-03-08 23:35:00,30.6,30.6,26.9,0,0,8.1,283,0,0,0,1.24,1.24,8.16,29.7,86,0,0,29.37,1
2022-03-08T23:30:00-05:00,2022-03-08 23:30:00,30.2,30.2,26.5,0,0,8.1,283,0,0,0,1.24,1.24,8.16,29.7,86,0,0,29.37,1
2022-03-08T23:25:00-05:00,2022-03-08 23:25:00,30.4,30.4,27.3,0,0,8.1,283,0,0,0,1.24,1.24,8.16,29.69,88,0,0,29.37,1
2022-03-08T23:20:00-05:00,2022-03-08 23:20:00,30.6,30.6,27.5,0,0,8.1,283,0,0,0,1.24,1.24,8.16,29.68,88,0,0,29.36,1
2022-03-08T23:15:00-05:00,2022-03-08 23:15:00,30.6,30.6,26.6,0,0,8.1,283,0,0,0,1.24,1.24,8.16,29.69,85,0,0,29.36,1
2022-03-08T23:10:00-05:00,2022-03-08 23:10:00,30.2,30.2,26.5,0,0,8.1,283,0,0,0,1.24,1.24,8.16,29.69,86,0,0,29.36,1
2022-03-08T23:05:00-05:00,2022-03-08 23:05:00,30.2,30.2,26.8,0,0,8.1,283,0,0,0,1.24,1.24,8.16,29.69,87,0,0,29.37,1
2022-03-08T23:00:00-05:00,2022-03-08 23:00:00,30.2,30.2,26.2,0,0,8.1,283,0,0,0,1.24,1.24,8.16,29.69,85,0,0,29.36,1
2022-03-08T22:55:00-05:00,2022-03-08 22:55:00,30.2,30.2,26,0,0,8.1,283,0,0,0,1.24,1.24,8.16,29.7,84,0,0,29.37,1
2022-03-08T22:50:00-05:00,2022-03-08 22:50:00,30.4,30.4,26.2,0,0,8.1,283,0,0,0,1.24,1.24,8.16,29.7,84,0,0,29.38,1
2022-03-08T22:45:00-05:00,2022-03-08 22:45:00,30.6,30.6,26.4,0,0,8.1,283,0,0,0,1.24,1.24,8.16,29.7,84,0,0,29.37,1
2022-03-08T22:40:00-05:00,2022-03-08 22:40:00,30.9,30.9,26.6,0,0,8.1,283,0,0,0,1.24,1.24,8.16,29.71,84,0,0,29.38,1
2022-03-08T22:35:00-05:00,2022-03-08 22:35:00,31.3,31.3,26.5,0,0,8.1,283,0,0,0,1.24,1.24,8.16,29.7,82,0,0,29.38,1
2022-03-08T22:30:00-05:00,2022-03-08 22:30:00,31.1,31.1,26,0,0,8.1,283,0,0,0,1.24,1.24,8.16,29.71,81,0,0,29.38,1
2022-03-08T22:25:00-05:00,2022-03-08 22:25:00,31.1,31.1,26.8,0,0,8.1,283,0,0,0,1.24,1.24,8.16,29.7,84,0,0,29.38,1
2022-03-08T22:20:00-05:00,2022-03-08 22:20:00,31.5,31.5,27.2,0,0,8.1,283,0,0,0,1.24,1.24,8.16,29.71,84,0,0,29.38,1
2022-03-08T22:15:00-05:00,2022-03-08 22:15:00,31.8,31.8,26.6,0,0,8.1,283,0,0,0,1.24,1.24,8.16,29.71,81,0,0,29.38,1
2022-03-08T22:10:00-05:00,2022-03-08 22:10:00,31.8,31.8,27.5,0,0,8.1,283,0,0,0,1.24,1.24,8.16,29.71,84,0,0,29.38,1
2022-03-08T22:05:00-05:00,2022-03-08 22:05:00,31.8,31.8,26.6,0,0,8.1,283,0,0,0,1.24,1.24,8.16,29.71,81,0,0,29.39,1
